sentence,true_label,finbert_prediction,finbert_confidence,finbert_correct,distilbert_prediction,distilbert_confidence,distilbert_correct,electra_prediction,electra_confidence,electra_correct,finbert_prob_negative,finbert_prob_neutral,finbert_prob_positive
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",positive,positive,0.9504,True,positive,0.9299,True,positive,0.5126,True,0.0221,0.0275,0.9504
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",negative,negative,0.8487,True,negative,0.7785,True,negative,0.4735,True,0.8487,0.1443,0.007
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",negative,negative,0.846,True,negative,0.7427,True,negative,0.4325,True,0.846,0.1459,0.0081
com and possibly also through photo-msn .,neutral,neutral,0.9613,True,neutral,0.9581,True,neutral,0.8085,True,0.0073,0.9613,0.0314
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",neutral,neutral,0.9735,True,neutral,0.9677,True,neutral,0.7189,True,0.0078,0.9735,0.0186
$GTE LONG at 7.44,positive,positive,0.9114,True,positive,0.9078,True,negative,0.5495,False,0.0149,0.0737,0.9114
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,neutral,0.9584,True,neutral,0.9502,True,neutral,0.784,True,0.0081,0.9584,0.0335
"The Company operates through four principal divisions : Consumer Packaging ; Office Papers ; Speciality Papers , as well as Market Pulp and Energy .",neutral,neutral,0.9766,True,neutral,0.9714,True,neutral,0.8056,True,0.0082,0.9766,0.0153
"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf",negative,negative,0.8347,True,negative,0.8411,True,negative,0.5705,True,0.8347,0.1557,0.0096
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,0.9789,True,positive,0.9681,True,positive,0.5265,True,0.0048,0.0163,0.9789
International operations accounted for over 80 % of net sales .,neutral,neutral,0.9627,True,neutral,0.9552,True,neutral,0.7506,True,0.0063,0.9627,0.031
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,0.9841,True,positive,0.7451,True,positive,0.5403,True,0.0091,0.0068,0.9841
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive,positive,0.9583,True,positive,0.9583,True,neutral,0.5528,False,0.0331,0.0086,0.9583
"FTSE 100 drops 2.5 pct on Glencore, metals price fears",negative,negative,0.9288,True,negative,0.921,True,negative,0.6141,True,0.9288,0.0622,0.009
"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn .",negative,negative,0.8297,True,negative,0.7324,True,negative,0.444,True,0.8297,0.1631,0.0073
"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville .",neutral,neutral,0.9726,True,neutral,0.9576,True,neutral,0.7073,True,0.007,0.9726,0.0204
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,positive,positive,0.9843,True,positive,0.9694,True,positive,0.5268,True,0.0054,0.0103,0.9843
"Cash flow after investments amounted to EUR45m , down from EUR46m .",negative,negative,0.837,True,negative,0.7713,True,negative,0.4357,True,0.837,0.1566,0.0064
